model,family,condition,noise_level,missing_rate,available_modalities,current_mse,current_rmse,current_mae,forecast_mse,forecast_rmse,forecast_mae,h1_mse,h1_rmse,h1_mae,h5_mse,h5_rmse,h5_mae,h10_mse,h10_rmse,h10_mae
clean_trained,missingness,missing_10,0.0,0.1,ABC,0.3312729241564535,0.5755631365510246,0.4420826258498885,0.5135484853729776,0.7166229729592665,0.5424844869752029,0.32766025831589296,0.5724161583287922,0.4410988473077726,0.4893700585574159,0.6995498971177223,0.5363519833153645,0.7236151334651932,0.8506557079483998,0.6500026259671486
robust_trained,missingness,missing_10,0.0,0.1,ABC,0.25889541716295794,0.5088176659304962,0.39474630267128574,0.4469470881657735,0.6685410145726091,0.5077291296719093,0.2577002917218285,0.5076418931902966,0.3955151447700644,0.43827903650787986,0.6620264620903608,0.5089677292172041,0.644861932345177,0.8030329584426638,0.6187045135833519
clean_trained,missingness,missing_30,0.0,0.3,ABC,0.5416194421983341,0.7359479887861194,0.5678895161895003,0.7132238872065083,0.8445258357247032,0.6504426953961786,0.5422576395412518,0.7363814497536258,0.5698360071129027,0.7065538617654559,0.8405675831040927,0.6510516889015068,0.8908601549452742,0.9438538843196409,0.7304403891419066
robust_trained,missingness,missing_30,0.0,0.3,ABC,0.27015853492172964,0.5197677701836942,0.40374647703385286,0.4658536460425299,0.6825347214922695,0.5207443562625959,0.2776759609594656,0.5269496759269007,0.41066611599805247,0.4635823421133123,0.6808688141729744,0.524858616029432,0.656302633712926,0.8101250728825309,0.6267083353151953
clean_trained,missingness,missing_50,0.0,0.5,ABC,0.7850164147720066,0.8860115206767949,0.6911367060330522,0.9255996195045169,0.9620808799183761,0.7514743470535438,0.7866607454410568,0.8869389750377739,0.693373741435053,0.9289847003556782,0.963838524004762,0.7547911575758657,1.061153416432807,1.0301230103404189,0.8062581479301433
robust_trained,missingness,missing_50,0.0,0.5,ABC,0.30298284558057986,0.5504387755060319,0.4284750992252241,0.5001906595284401,0.7072415849824161,0.5437930776973582,0.3196426497404091,0.5653694807295572,0.44114115262946846,0.5036879706096472,0.7097097791419019,0.5496687720234414,0.6772413527644993,0.8229467496530376,0.6405693080262769
clean_trained,modalities,modalities_ABC,0.0,0.0,ABC,0.2261774442386611,0.4755811647223438,0.365715742235395,0.39846700607154434,0.6312424305063343,0.4720049008694649,0.2184452319455675,0.4673812490307752,0.3609408502757761,0.3590766651521938,0.5992300602875275,0.45826858652115837,0.6178791235941993,0.7860528758259201,0.5968052574504799
robust_trained,modalities,modalities_ABC,0.0,0.0,ABC,0.2579362057615371,0.507874202693479,0.39380772173072043,0.4416842525264336,0.6645932985867625,0.5040965024209545,0.25315708211366245,0.50314717738815,0.3919920372087984,0.4301794893963777,0.6558806975330024,0.5038847009667523,0.641716190094918,0.8010719007023764,0.6164127664035415
clean_trained,modalities,modalities_AB,0.0,0.0,AB,0.5348736117056697,0.7313505395538241,0.5651689256590352,0.6675548359194431,0.817040290266914,0.6282919195742784,0.5118528811814276,0.7154389430143061,0.5544467367981566,0.6354978821327213,0.7971812103485137,0.6169152503785357,0.8553137498117231,0.9248317413517569,0.7135137661786001
robust_trained,modalities,modalities_AB,0.0,0.0,AB,0.31680693687208006,0.5628560534204816,0.43493057991594264,0.4753377736951421,0.6894474408503828,0.5254443095126734,0.3031294587766098,0.5505719378760688,0.4279738978865424,0.4576378826810365,0.6764893810556353,0.5205391490413073,0.6652459792148919,0.8156261271041358,0.6278198791328429
clean_trained,modalities,modalities_AC,0.0,0.0,AC,1.3349138046927849,1.1553846998696082,0.9090738184964537,1.366092177722814,1.168799460011346,0.9196669513941739,1.307302236597328,1.143373183434581,0.8992864900431253,1.3766767242034237,1.1733186797300312,0.921852043844733,1.4142975583295017,1.1892424304276659,0.9378623273137578
robust_trained,modalities,modalities_AC,0.0,0.0,AC,0.3168407185356286,0.5628860617706115,0.4386937458793786,0.5084315731315886,0.7130438788262533,0.5461505443844601,0.32306059454291,0.5683841962466145,0.4441539356806507,0.5123052098032144,0.7157549928594381,0.5527632189369557,0.6899289079263249,0.8306195927898191,0.6415344752326706
clean_trained,modalities,modalities_BC,0.0,0.0,BC,1.6432353310832593,1.2818874096749915,0.9898835730395421,2.0261886514618213,1.4234425353563878,1.0570090256197502,1.6374052950728268,1.2796113843948196,0.9802495890939456,1.923101608247981,1.3867593908995104,1.0482238007753044,2.518059023814054,1.5868393188391992,1.1425536886415526
robust_trained,modalities,modalities_BC,0.0,0.0,BC,0.3498389086827356,0.5914718156283828,0.45954235173029767,0.5061896955177329,0.7114700946053409,0.5431781615213125,0.33933351611881396,0.5825234039236655,0.4530606406831346,0.4916030524060465,0.7011441024540152,0.5383684940425228,0.6876325188541138,0.8292361056141452,0.6381053506640559
clean_trained,modalities,modalities_A,0.0,0.0,A,2.235428174678674,1.4951348349492342,1.2126875303885507,2.0415442470509895,1.4288261780395086,1.1463660671974534,2.085756373503034,1.444214794794401,1.170450023881437,1.9934486025560736,1.4118953936308716,1.1286776479988478,2.0454277461010166,1.4301845147046646,1.139970510306343
robust_trained,modalities,modalities_A,0.0,0.0,A,0.5126507899701928,0.7159963617017846,0.5550986017633287,0.645337650654543,0.8033291048222658,0.6207360071184079,0.514275203751929,0.7171298374436312,0.558515383047681,0.64831198950538,0.8051782346197518,0.6224336245514386,0.7734257504485614,0.8794462749074337,0.6812590228396384
clean_trained,modalities,modalities_B,0.0,0.0,B,3.002225503855382,1.7326931360905722,1.3575946702445882,2.7852062677927165,1.6688937257335221,1.3098185253008907,2.844299248279744,1.6865050395061807,1.33027979267081,2.737848928275093,1.654644653173331,1.3164962001099272,2.773470636732623,1.6653740230748837,1.2826795872508139
robust_trained,modalities,modalities_B,0.0,0.0,B,0.5063528140458523,0.7115847202166811,0.553653356770503,0.614115626563469,0.7836552983062572,0.6031922872427102,0.47771127041152706,0.6911666010532678,0.5386428667336536,0.5968740507706801,0.7725762426910888,0.5972168517890929,0.7677615512826611,0.8762200358829174,0.6737171432053843
clean_trained,modalities,modalities_C,0.0,0.0,C,4.1802045777048455,2.044554860527065,1.635808050554657,5.582499973575174,2.362731464550124,1.8136449458995716,4.247424431601979,2.0609280510493275,1.638743150189466,5.1228630639058,2.2633742650975335,1.7717761711483173,7.377212461551877,2.716102439443674,2.030415508928949
robust_trained,modalities,modalities_C,0.0,0.0,C,0.5310495317685873,0.7287314538076336,0.5585345505434266,0.6689715985963132,0.8179068398028673,0.6290441608950441,0.5223355436462165,0.7227278489488395,0.5564213660330654,0.66905517578125,0.817957930324812,0.6304682563924959,0.8155240773936929,0.9030637172390954,0.7002428614982348
